Date/Time;Radiated Energy (e10 J);Impact energy (kt);Velocity (km/s);Altitude (km);Longitude (deg.);Latitude (deg.);Latitude direction (East / West);Latitude direction (North / South);Geo point
2024-05-05T22:11:03+02:00;3.7;0.13;13;39.0;112;7;W;S;7.1, 112.7
2024-02-05T01:32:54+01:00;4.6;0.15;14;23.0;123;13;E;S;13.8, 123.7
2023-10-26T10:58:25+02:00;29.1;0.78;30;44.2;174;45;W;N;45.9, 174.8
2023-08-05T21:54:50+02:00;171.9;3.8;21;44.0;131;19;W;N;19.9, 131.7
2023-06-21T21:39:13+02:00;54.3;1.4;16;40.4;62;12;E;N;12.4, 62.8
2023-04-01T02:02:03+02:00;2.4;0.086;46;61.8;76;16;E;S;16.8, 76.0
2023-03-20T07:53:23+01:00;2.7;0.095;;34.8;132;23;E;S;23.7, 132.6
2023-03-03T03:53:54+01:00;6.4;0.2;25;32.0;87;40;E;N;40.1, 87.4
2023-01-22T18:11:43+01:00;2.0;0.073;;61.0;76;3;W;N;3.5, 76.2
2023-01-17T07:56:59+01:00;2.9;0.1;14;38.0;173;33;W;N;33.1, 173.7
2023-01-02T17:38:02+01:00;5.0;0.16;;44.6;129;1;E;N;1.5, 129.0
2022-12-29T07:52:09+01:00;6.2;0.2;16;32.3;92;42;E;N;42.3, 92.9
2022-11-20T16:35:21+01:00;3.3;0.11;;50.0;95;17;W;S;17.0, 95.7
2022-11-20T14:53:54+01:00;3.4;0.12;21;26.0;109;15;W;N;15.0, 109.7
2022-11-08T09:54:01+01:00;3.9;0.13;;41.0;93;77;W;N;77.2, 93.2
2022-09-15T04:49:02+02:00;2.7;0.095;;31.5;97;22;E;N;22.7, 97.6
2022-08-21T18:35:49+02:00;2.1;0.076;;37.0;51;6;E;S;6.3, 51.5
2022-07-28T03:36:08+02:00;25.1;0.68;29;37.5;86;6;W;S;6.0, 86.9
2022-07-22T02:16:19+02:00;6.0;0.19;17;32.7;20;23;W;S;23.3, 20.5
2022-07-07T03:49:26+02:00;73.4;1.8;;35.0;175;41;E;S;41.7, 175.0
2022-06-08T00:53:17+02:00;3.1;0.11;24;41.1;127;40;W;N;40.8, 127.1
2022-04-04T02:30:39+02:00;2.7;0.095;19;31.5;64;3;W;S;3.2, 64.3
2022-03-30T20:19:18+02:00;2.0;0.073;;74.0;171;45;W;S;45.9, 171.4
2022-02-17T04:53:24+01:00;6.5;0.21;21;32.4;56;5;E;N;5.4, 56.4
2022-01-30T03:06:18+01:00;5.4;0.18;20;36.6;38;50;W;N;50.0, 38.0
2021-12-21T00:15:55+01:00;3.2;0.11;18;56.0;60;62;E;N;62.7, 60.3
2021-12-10T02:19:06+01:00;5.0;0.16;;27.5;172;47;E;S;47.5, 172.6
2021-11-28T19:06:50+01:00;4.0;0.13;19;38.4;113;32;E;N;32.6, 113.5
2021-11-08T06:28:28+01:00;3.3;0.11;;36.0;7;33;W;S;33.8, 7.7
2021-10-28T11:10:30+02:00;3.0;0.1;;35.2;138;4;W;S;4.1, 138.7
2021-07-29T15:19:57+02:00;3.7;0.13;14;26.4;98;42;E;N;42.4, 98.4
2021-07-07T15:41:14+02:00;3.3;0.11;;;;;;;
2021-07-05T05:46:24+02:00;74.0;1.8;15;43.4;164;44;W;N;44.3, 164.2
2021-05-16T17:51:08+02:00;3.8;0.13;;37.0;171;52;W;S;52.1, 171.2
2021-04-02T17:52:58+02:00;13.7;0.4;;40.0;106;71;E;N;71.2, 106.7
2021-02-10T00:27:29+01:00;3.0;0.1;;31.0;92;75;W;N;75.8, 92.8
2021-01-31T03:59:39+01:00;26.7;0.72;;39.4;115;5;E;N;5.3, 115.2
2021-01-25T04:01:37+01:00;7.5;0.23;;19.1;47;38;W;N;38.5, 47.6
2020-12-29T21:32:22+01:00;4.9;0.16;;33.0;158;14;W;N;14.9, 158.2
2020-10-23T22:51:39+02:00;8.0;0.25;;48.0;71;30;W;N;30.0, 71.9
2020-10-22T19:39:33+02:00;4.4;0.15;17;40.0;133;22;W;N;22.0, 133.5
2020-10-19T09:05:47+02:00;2.1;0.076;;40.7;93;48;E;N;48.6, 93.9
2020-10-18T12:52:43+02:00;3.6;0.12;16;36.0;135;11;W;S;11.4, 135.8
2020-09-18T10:05:27+02:00;4.1;0.14;11;46.0;169;2;W;N;2.4, 169.7
2020-08-30T18:08:22+02:00;6.4;0.2;23;27.8;133;26;E;N;26.0, 133.5
2020-05-27T19:30:18+02:00;5.7;0.18;14;29.3;41;40;E;N;40.8, 41.7
2020-05-09T04:56:11+02:00;4.1;0.14;14;31.2;131;44;W;N;44.8, 131.0
2020-04-28T07:43:17+02:00;2.1;0.076;;;109;20;W;N;20.1, 109.4
2020-04-18T15:08:38+02:00;2.7;0.095;;;49;12;W;N;12.5, 49.8
2020-03-23T17:51:51+01:00;13.3;0.39;;25.0;67;24;W;S;24.4, 67.9
2020-03-04T21:25:59+01:00;39.4;1.0;19;24.3;90;53;E;S;53.3, 90.8
2020-01-21T21:07:44+01:00;2.8;0.098;27;43.3;34;33;E;N;33.1, 34.3
2019-12-11T02:19:11+01:00;3.9;0.13;17;37.0;161;47;E;N;47.7, 161.7
2019-12-06T11:19:57+01:00;4.6;0.15;;19.5;37;3;W;S;3.3, 37.7
2019-09-14T14:39:34+02:00;10.9;0.33;15;38.0;33;38;W;S;38.6, 33.5
2019-07-23T22:42:58+02:00;25.5;0.69;16;30.6;147;44;W;N;44.6, 147.6
2019-04-14T19:54:33+02:00;2.9;0.1;15;30.6;74;18;W;N;18.3, 74.6
